Identifiant séquentiel unique *,Géométrie *,Nom de la station d'épuration,Numéro de la station d'épuration,Numéro du système de traitement *,Numéro de lieu SAGO,Municipalité(s) desservie(s),Classification,Type de traitement (description),Taille de la station d'épuration,Catégorie de suivi,Date de mise en service,Population de conception,Débit - Calcul de taille (m³/d),Débit de conception (m³/d),DBO5C de conception (kg/d),Latitude de l'émissaire,Longitude de l'émissaire,Lac/Cours d'eau (milieu récepteur),Nom du bassin primaire,Équipements de traitements,Date d'effectivité de l'AA,Nombre d’ouvrages de surverse
189,Point,Station d'épuration de Saint-Gabriel,49400-1,382,X2049013,<Nul>,Boues activées,Boues activées à fossé d'oxydation,Petite,3,1985-06-01,4400,"1999,2",2086,250,"46,333,056","-73,345,556","Maskinongé, Rivière","Maskinongé, Rivière",BA; DÉC SEC; DÉG GR; DESS; PD,<Nul>,2
190,Point,Station d'épuration de Saint-Alexis,63020-1,174,X2049000,<Nul>,Étangs aérés,Étangs aérés,Très petite,2,1999-03-01,450,124,145,22,"45,918,333","-73,625","Saint-Esprit, Ruisseau","L'Assomption, Rivière",EA (2 cell.); PD,<Nul>,1
191,Point,Station d'épuration de Chertsey,62047-2,246,X2049723,<Nul>,Autres,Filtres intermittents à recirculation avec infiltration,Très petite,2,2010-09-01,645,"283,5",200,"32,3","46,069,087","-73,884,895","Burton, Rivière","L'Assomption, Rivière",FIR; FS(F),<Nul>,4
192,Point,Station d'épuration de Lavaltrie,52005-1,218,X2049215,<Nul>,Étangs aérés,Étangs aérés,Moyenne,5,1996-03-01,10350,6905,4438,518,"45,889,444","-73,268,056","Saint-Laurent, Fleuve","Saint-Laurent, Fleuve",DÉG GR; EA (2 cell.),<Nul>,8
193,Point,Station d'épuration de Rawdon,61360-1,291,X2048998,<Nul>,Étangs aérés,Étangs aérés,Moyenne,5,1985-07-01,2700,"2752,3",1987,281,"46,031,944","-73,690,278","Ouareau, Rivière","L'Assomption, Rivière",DÉG GR; DESS; EA (4 cell.); PD,<Nul>,6
194,Point,Station d'épuration de Chertsey (Lac Clermoustier),62047-3,872,X2167447,<Nul>,Disques biologiques,Disques biologiques Rotofix,Très petite,1,2008-01-01,110,31,31,<Nul>,"46,161,425","-73,816,708","Clermoustier, Lac","L'Assomption, Rivière",DÉC SEC; BD; PD; UV,<Nul>,0
195,Point,Station d'épuration de Saint-Côme,62065-1,484,X2095596,<Nul>,Boues activées,Boues activées,Très petite,2,1980-01-01,700,"481,8",749,154,"46,276,111","-73,763,889","L'Assomption, Rivière","L'Assomption, Rivière",BA; PD,<Nul>,1
196,Point,Station d'épuration de Sainte-Hélène-de-Bagot,40600-1,83,X2049396,<Nul>,Disques biologiques,Disques biologiques,Moyenne,4,1985-10-01,1000,"362,1",380,157,"45,733,611","-72,746,944","Chibouet, Rivière","Yamaska, Rivière",DÉC PRIM; DÉC SEC; BD; PD,<Nul>,1
197,Point,Station d'épuration de Saint-Zotique,71025-2,451,X2049393,<Nul>,Étangs aérés,Étangs aérés,Moyenne,5,2006-01-01,4150,"3700,3",4312,478,"45,242,222","-74,241,389","Saint-François, Lac",<Nul>,DÉG GR; EA (4 cell.),<Nul>,2
198,Point,Station d'épuration de Saint-Michel (Neufchâtel),68050-3,884,X2168654,<Nul>,Disques biologiques,Disques biologiques Rotofix,Très petite,1,2014-01-01,190,44,44,"4,66","4,524,254","-73,585,891","Thibert-Clermont, Ruisseau","Châteauguay, Rivière",BE; DÉC SEC; BD; PD; UV,<Nul>,2
199,Point,Station d'épuration de Saint-Jacques-le-Mineur (Parc Landry),68040-1,869,X2134290,<Nul>,Étangs aérés,Étangs aérés avec bassin complètement mélangé,Très petite,1,2015-02-01,153,77,77,"21,7","4,519,992","-7,345,442","L'Acadie, Rivière","Richelieu, Rivière",EA (3 cell.); PD,<Nul>,1
200,Point,Station d'épuration de Saint-Édouard,68045-1,800,X2047246,<Nul>,Étangs aérés,Étangs aérés,Très petite,2,2006-01-01,492,277,"131,1","20,9","452,387","-73,503,731","Tortue, Rivière de la","Tortue, Rivière de la",EA (2 cell.); PD,<Nul>,0
201,Point,Station d'épuration de Saint-Nazaire-d'Acton,48050-1,556,X2020867,<Nul>,Étangs aérés,Étangs aérés à parois verticales,Très petite,1,2005-04-01,250,"78,1",137,"24,1","45,739,722","-72,614,722","Duncan, Rivière","Yamaska, Rivière",EA (4 cell.); PD,<Nul>,3
202,Point,Station d'épuration de Saint-Amable,59015-2,833,X1606424,<Nul>,Étangs aérés,Étangs aérés,Moyenne,5,2008-01-01,10698,3600,3600,507,"4,563,576","-73,273,261","Grand Ruisseau, Le","Richelieu, Rivière",EA (4 cell.); PD,<Nul>,7
203,Point,Station d'épuration de Saint-Robert,53020-1,439,X1606224,<Nul>,Étangs aérés,Étangs aérés,Très petite,2,2002-06-01,376,"150,2",166,23,"45,976,513","-7,300,657","Dix, Décharge des","Yamaska, Rivière",DÉG GR; EA (3 cell.); PD,<Nul>,1
204,Point,Station d'épuration de Sainte-Angèle-de-Monnoir,52320-1,803,X1605972,<Nul>,Étangs aérés,Étangs aérés,Petite,3,1983-10-01,500,"626,8",635,111,"45,403,889","-73,1",<Nul>,"Richelieu, Rivière",EA (3 cell.),<Nul>,0
205,Point,Station d'épuration de Sutton,46055-1,478,X1600636,<Nul>,Étangs aérés,Étangs aérés,Petite,3,2001-03-01,3848,"1190,5",1468,262,"4,508,734","-72,628,203","Sutton, Rivière","Richelieu, Rivière",EA (4 cell.); PD,<Nul>,1
206,Point,Station d'épuration de Saint-Alphonse-de-Granby,39260-1,323,90076902,<Nul>,Fosse septique,Fosse septique,Très petite,1,1990-10-01,70,60,66,"8,6","45,324,167","-72,810,556","Yamaska Nord, Rivière","Yamaska, Rivière",FG; FS; FS,<Nul>,1
207,Point,Station d'épuration de Saint-Théodore-d'Acton,40480-1,449,13427125,<Nul>,Étangs aérés,Étangs aérés à parois verticales,Très petite,2,1994-11-01,525,"190,6",203,33,"45,687,778","-72,593,056","Fontaine, Ruisseau","Yamaska, Rivière",EA (4 cell.); PD,<Nul>,1
208,Point,Station d'épuration de Saint-Jacques-le-Mineur,68040-2,868,X2141099,<Nul>,Étangs aérés,Étangs aérés,Très petite,2,2015-10-01,953,374,374,53,"45,276,573","-73,409,876","Vingt, Ruisseau des ","Richelieu, Rivière",EA (3 cell.); PD,<Nul>,1
209,Point,Station d'épuration de Coteau-du-Lac (Épur. Parc Industriel),71040-1,710,X2138661,<Nul>,Boues activées,Boues activées,Moyenne,4,1990-01-01,111,"392,4",166,<Nul>,"45,292,778","-74,201,944","Delisle, Rivière","Delisle, Rivière",BA; PD,<Nul>,0
210,Point,Station d'épuration de Saint-David,53005-1,301,X2136269,<Nul>,Étangs aérés,Étangs aérés à parois verticales,Très petite,2,2013-06-01,352,"154,4","154,4","22,2","45,955,978","-72,854,286","Lambert, Ruisseau","Yamaska, Rivière",EA (3 cell.); PD,<Nul>,2
211,Point,Station d'épuration de Sainte-Victoire-de-Sorel,53025-1,528,X2124961,<Nul>,Étangs aérés,Étangs aérés à parois verticales,Très petite,2,2012-01-01,454,285,285,29,"45,955,833","-73,090,833","Pot au Beurre, Rivière","Yamaska, Rivière",EA (4 cell.); PD,<Nul>,1
212,Point,Station d'épuration de Franklin,69010-1,483,X2117751,<Nul>,Étangs aérés,Étangs aérés à parois verticales,Très petite,2,2011-09-01,300,101,101,"15,7","45,055,833","-73,881,667",<Nul>,"Châteauguay, Rivière",EA (3 cell.); PD,<Nul>,2
213,Point,Station d'épuration de Saint-Louis,54120-1,538,X2104192,<Nul>,Étangs aérés,Étangs aérés à parois verticales,Très petite,2,2010-10-01,380,"156,6","151,1","22,1","45,854,444","-72,969,722",<Nul>,"Yamaska, Rivière",EA (4 cell.); PD,<Nul>,1
214,Point,Station d'épuration de Saint-Urbain-Premier,70005-1,561,X2102498,<Nul>,Étangs aérés,Étangs aérés,Très petite,2,2008-12-01,567,290,"248,3","28,4","45,217,371","-7,372,992",<Nul>,"Châteauguay, Rivière",EA (3 cell.); PD,<Nul>,1
215,Point,Station d'épuration d'Hudson,71100-1,260,X2082994,<Nul>,Boues activées,Boues activées à réacteur biologique séquentiel,Très petite,2,2009-09-01,3082,"363,3",1577,227,"45,463,347","-74,135,108","Outaouais, Rivière des","Outaouais, Rivière des",BE; BA; DÉG FIN; UV,<Nul>,2
216,Point,Station d'épuration de Saint-Stanislas-de-Kostka,70040-1,622,X2074498,<Nul>,Étangs aérés à rétention réduite,Étangs aérés à rétention réduite,Très petite,2,2007-10-01,1776,335,724,"119,7","45,224,444","-74,152,222","Saint-Laurent, Fleuve","Saint-Laurent, Fleuve",ERR (2 cell.),<Nul>,3
217,Point,Station d'épuration de Sainte-Clotilde,68020-1,317,X2070734,<Nul>,Étangs aérés à rétention réduite,Étangs aérés à rétention réduite à parois verticales,Très petite,2,2008-07-01,778,228,244,"38,8","45,160,556","-73,670,278","Norton, Ruisseau","Châteauguay, Rivière",ERR (4 cell.); PD,<Nul>,2
218,Point,Station d'épuration de Longueuil,56650-1,661,X2049746,<Nul>,Physico-chimique,Physico-chimique,Très grande,8,1992-09-01,350000,"356312,7",330000,<Nul>,"45,583,889","-73,497,222","Saint-Laurent, Fleuve","Saint-Laurent, Fleuve",BE; BPM; DÉG GR; DESS AÉRÉ; PC; PD,<Nul>,91
219,Point,Station d'épuration de Waterloo,39160-1,853,X2049429,<Nul>,Étangs aérés,Étangs aérés,Moyenne,5,1985-09-01,4897,"5674,4",6919,528,"45,356,944","-72,511,389","Yamaska Nord, Rivière","Yamaska, Rivière",DÉG GR; DESS AÉRÉ; EA (4 cell.); PD,<Nul>,11
220,Point,Station d'épuration de Venise-en-Québec,54220-1,477,X2049426,<Nul>,Étangs aérés,Étangs aérés,Moyenne,5,1994-12-01,3168,"2548,7",1129,"174,7","45,088,333","-73,162,778",<Nul>,"Richelieu, Rivière",EA (3 cell.); PD,<Nul>,3
221,Point,Station d'épuration de Varennes,57320-1,915,X2049420,<Nul>,Étangs aérés,Étangs aérés,Moyenne,5,2019-01-01,10970,11406,11406,992,"45,695,833","-73,445,278","Saint-Laurent, Fleuve","Saint-Laurent, Fleuve",DÉG GR; DESS; EA (4 cell.); PD,<Nul>,9
222,Point,Station d'épuration de Varennes,57320-1,471,X2049420,<Nul>,Étangs aérés,Étangs aérés,Moyenne,5,1987-01-01,10970,"11871,3",8515,658,"45,695,833","-73,445,278","Saint-Laurent, Fleuve","Saint-Laurent, Fleuve",DÉG GR; DESS; EA (4 cell.); PD,<Nul>,9
223,Point,Station d'épuration de Saint-Simon,40280-1,553,X2049378,<Nul>,Étangs aérés,Étangs aérés,Très petite,2,1987-02-01,237,"173,6",358,78,"45,735,556","-72,870,556","Gogli, Ruisseau","Yamaska, Rivière",EA (3 cell.); PD,<Nul>,1
224,Point,Station d'épuration de Saint-Pie,40120-1,435,X2049373,<Nul>,Étangs aérés,Étangs aérés,Petite,3,1988-01-01,1890,"1778,7",1230,146,"45,51","-72,916,111","Noire, Rivière","Yamaska, Rivière",DÉG GR; DESS; EA (3 cell.); PD,<Nul>,6
225,Point,Station d'épuration de Saint-Paul-d'Abbotsford,55015-1,425,X2049368,<Nul>,Étangs aérés,Étangs aérés,Très petite,2,1995-10-01,883,"320,7",285,"44,1","45,425,833","-72,888,333","Bélanger, Ruisseau","Yamaska, Rivière",EA (2 cell.); PD,<Nul>,1
226,Point,Station d'épuration de Saint-Mathieu-de-Beloeil (EA),57045-2,370,X2049363,<Nul>,Étangs aérés,Étangs aérés,Petite,3,2007-07-01,2214,"767,9",1397,192,"45,589,167","-73,254,444","Beloeil, Ruisseau","Richelieu, Rivière",EA (2 cell.); PD,<Nul>,3
227,Point,Station d'épuration de Saint-Louis-de-Gonzague,70035-1,743,X2049359,<Nul>,Étangs aérés,Étangs aérés,Très petite,2,1994-12-01,665,"366,3",300,"46,2","45,232,452","-73,992,206","Saint-Laurent, Fleuve","Saint-Laurent, Fleuve",EA (2 cell.),<Nul>,0
228,Point,Station d'épuration de Saint-Jean-Baptiste,52600-1,414,X2049343,<Nul>,Boues activées,Boues activées à fossé d'oxydation,Moyenne,4,1985-12-01,1425,"2477,3",2000,560,"45,523,333","-73,125,556","Hurons, Rivière des","Richelieu, Rivière",BA; DÉC SEC; DÉG GR; DESS; PD,<Nul>,4
229,Point,Station d'épuration de Saint-Hyacinthe,51460-1,694,X2049336,<Nul>,Boues activées,Boues activées,Grande,6,1987-03-01,51520,"47902,5",45000,8500,"45,649,444","-72,940,556","Yamaska, Rivière","Yamaska, Rivière",BA; DÉC PRIM; DÉC SEC; DÉG GR; DESS AÉRÉ; PD,<Nul>,43
230,Point,Station d'épuration de Saint-Chrysostome,69020-1,38,X2049325,<Nul>,Étangs aérés,Étangs aérés,Petite,3,1994-09-01,1420,"1051,7",1051,86,"45,107,222","-73,761,389","Anglais, Rivière des","Châteauguay, Rivière",DÉG GR; EA (3 cell.); PD,<Nul>,2
231,Point,Station d'épuration de Saint-Armand,46017-1,36,X2049318,<Nul>,Étangs aérés,Étangs aérés à parois verticales,Très petite,2,2003-08-01,390,"201,3","134,4","19,5","45,052,222","-73,069,167",<Nul>,"Richelieu, Rivière",EA (4 cell.); FG; PD,<Nul>,2
232,Point,Station d'épuration d'Ormstown (Saint-Malachie),69780-1,78,X2049303,<Nul>,Étangs aérés,Étangs aérés,Petite,3,1996-03-01,2100,"2240,1",1855,145,"45,126,111","-73,976,944","Châteauguay, Rivière","Châteauguay, Rivière",EA (4 cell.); PD,<Nul>,4
233,Point,Station d'épuration de Napierville (Saint-Cyprien),68030-1,269,X2049301,<Nul>,Étangs aérés,Étangs aérés,Moyenne,5,1994-12-01,3310,"2628,8",2764,166,"45,198,889","-73,382,778","Deslauriers, Ruisseau","Richelieu, Rivière",DÉG GR; EA (2 cell.); PD,<Nul>,4
234,Point,Station d'épuration de Lac-Brome (Ouest),38500-2,58,X2049277,<Nul>,Fosse septique,Fosse septique,Très petite,1,1986-09-01,118,"18,3",31,"6,4","45,176,667","-72,662,778","Yamaska Sud-Est, Rivière","Yamaska, Rivière",FG; FS,<Nul>,1
235,Point,Station d'épuration d'Huntingdon,69055-1,257,X2049265,<Nul>,Étangs aérés,Étangs aérés,Moyenne,5,1995-12-01,6089,"5244,4",10140,973,"45,092,222","-74,166,944","Châteauguay, Rivière","Châteauguay, Rivière",EA (5 cell.); PD,<Nul>,9
236,Point,Station d'épuration d'Henryville,53200-1,33,X2049262,<Nul>,Disques biologiques,Disques biologiques,Petite,3,1988-06-01,917,"870,9",860,51,"45,133,889","-73,185,278","Terres Noires, Ruisseau des","Richelieu, Rivière",DÉC PRIM; DÉC SEC; DÉG GR; BD; PD,<Nul>,2
237,Point,Station d'épuration de Cowansville,54480-1,140,X2049253,Brigham,Boues activées,Boues activées à fossé d'oxydation,Moyenne,5,1986-12-01,14000,"14983,5",16800,1500,"45,220,556","-72,776,389","Yamaska Sud-Est, Rivière","Yamaska, Rivière",BA; DÉC SEC; DÉG GR; DESS; RB,<Nul>,24
238,Point,Station d'épuration de Contrecoeur,57780-1,890,X2049243,<Nul>,Étangs aérés,Étangs aérés,Moyenne,5,1987-11-01,3486,"3825,9",3595,203,"45,873,889","-73,228,056","Saint-Laurent, Fleuve","Saint-Laurent, Fleuve",DÉG GR; DESS; EA (4 cell.); PD,<Nul>,8
239,Point,Station d'épuration de Châteauguay,69600-1,642,X2049240,<Nul>,Biofiltration,Biofiltration,Grande,6,1991-10-01,53300,"42749,6",27208,2132,"45,388,333","-73,747,222","Châteauguay, Rivière","Châteauguay, Rivière",BF; DÉC PRIM; DÉG FIN; DÉG GR; DESS AÉRÉ; PD; UV,<Nul>,27
240,Point,Station d'épuration de Saint-Blaise-sur-Richelieu,56065-1,882,X2153929,<Nul>,Étangs aérés,Étangs aérés avec bassin complètement mélangé,Très petite,1,2016-12-01,242,87,87,"12,1","45,209,806","-73,285,002","Richelieu, Rivière","Richelieu, Rivière",EA (3 cell.); PD; UV,<Nul>,0
241,Point,Station d'épuration de Saint-Liboire,40300-1,413,X2049358,<Nul>,Étangs aérés,Étangs aérés,Petite,3,1990-12-01,935,"506,1",600,"50,5","45,655,278","-72,766,389","Laliberté-Lépine, Ruisseau","Yamaska, Rivière",EA (3 cell.); PD,<Nul>,1
242,Point,Station d'épuration de Saint-Isidore (Montérégie),67040-1,374,X2049339,<Nul>,Étangs aérés,Étangs aérés,Petite,3,2008-01-01,2100,"803,1",751,105,"45,303,333","-73,704,444","Saint-Régis, Rivière","Saint-Régis, Rivière",EA (3 cell.); PD,<Nul>,4
243,Point,Station d'épuration de Saint-Dominique,54060-1,206,X2049332,<Nul>,Étangs aérés,Étangs aérés,Petite,3,1997-12-01,1435,"923,4",1138,93,"45,564,722","-72,861,111","Cenelle, Ruisseau de la","Yamaska, Rivière",EA (4 cell.); PD,<Nul>,6
244,Point,Station d'épuration de Saint-Damase,51120-1,103,X2049327,<Nul>,Étangs aérés,Étangs aérés,Moyenne,5,1991-10-01,1606,3663,4381,677,"455,325","-72,998,889","Corbin, Ruisseau","Yamaska, Rivière",EA (4 cell.); PD,<Nul>,2
245,Point,Station d'épuration de Saint-Alexandre,53450-1,321,X2049314,<Nul>,Étangs aérés,Étangs aérés à parois verticales,Petite,3,1991-12-01,1095,"565,8",434,55,"45,221,667","-73,129,722","Martel, Ruisseau","Richelieu, Rivière",DÉG GR; EA (4 cell.); PD,<Nul>,2
246,Point,Station d'épuration de Roxton Falls,39730-1,308,X2049313,Roxton,Étangs aérés,Étangs aérés,Petite,3,1984-10-01,1474,"1564,3",1000,66,"45,585","-72,54","Noire, Rivière","Yamaska, Rivière",EA (3 cell.); PD,<Nul>,4
247,Point,Station d'épuration de Massueville,50180-1,545,X2049292,<Nul>,Étangs aérés,Étangs aérés,Moyenne,4,1987-09-01,742,"347,3",645,142,"45,915,278","-72,926,111","Yamaska, Rivière","Yamaska, Rivière",DÉG GR; DESS; EA (4 cell.); PD,<Nul>,3
248,Point,Station d'épuration de Lacolle,55120-1,62,X2049281,<Nul>,Étangs aérés,Étangs aérés,Moyenne,5,1991-12-01,1890,3739,2300,95,"45,071,667","-73,326,667","Richelieu, Rivière","Richelieu, Rivière",EA (3 cell.); PD,<Nul>,4
249,Point,Station d'épuration de Lac-Brome (Knowlton),38500-1,208,X2049274,<Nul>,Étangs aérés,Étangs aérés,Moyenne,5,1986-11-01,3200,"3800,8",4228,453,"45,250,833","-72,575,556","John-Dabb, Ruisseau","Yamaska, Rivière",EA (5 cell.); PD,<Nul>,13
250,Point,Station d'épuration de L'Île-Perrot,72150-1,258,X2049267,<Nul>,Biofiltration,Biofiltration,Moyenne,5,1992-08-01,10200,"10563,6",8419,524,"45,398,056","-73,945","Saint-Louis, Lac",<Nul>,BF; DÉC PRIM; DÉG GR; DESS AÉRÉ; UV,<Nul>,1
251,Point,Station d'épuration d'Hemmingford,68010-1,32,X2049261,<Nul>,Étangs aérés,Étangs aérés,Petite,3,1994-12-01,900,"751,7",566,"50,2","45,061,944","-73,566,667","L'Acadie, Rivière","Richelieu, Rivière",EA (3 cell.); PD,<Nul>,1
252,Point,Station d'épuration de Granby,39240-1,723,X2049260,<Nul>,Boues activées,Boues activées à aération prolongée,Très grande,7,1984-11-01,38400,"59841,9",50000,6800,"45,370,556","-72,773,611","Yamaska Nord, Rivière","Yamaska, Rivière",BA; DÉC SEC; DÉG GR; DESS AÉRÉ; PD,<Nul>,22
253,Point,Station d'épuration de Dunham,54450-1,145,X2049252,<Nul>,Étangs aérés,Étangs aérés,Petite,3,1987-11-01,2050,"636,3",848,111,"45,151,111","-72,805,278","Gear, Ruisseau","Yamaska, Rivière",DÉG GR; EA (2 cell.); PD,<Nul>,1
254,Point,Station d'épuration de Beauharnois,70180-1,630,X2049229,<Nul>,Boues activées,Boues activées à fossé d'oxydation,Moyenne,5,1986-05-01,10172,"7607,7",7184,564,"45,317,778","-73,891,944","Saint-Louis, Lac",<Nul>,BA; DÉC SEC; DÉG GR; DESS,<Nul>,19
255,Point,Station d'épuration de Léry,67055-1,787,X2118688,<Nul>,Étangs aérés,Étangs aérés,Très petite,2,2012-09-01,1240,425,425,"63,4","45,344,166","-73,814,444","Saint-Laurent, Fleuve","Saint-Laurent, Fleuve",EA (3 cell.); PD,<Nul>,0
256,Point,Station d'épuration de Saint-Valentin,56030-1,807,X2110972,<Nul>,Autres,Marais artificiel (roseaux),Très petite,1,2010-04-01,207,"51,7",84,11,"45,129,644","-73,323,739","Landry, Ruisseau","Richelieu, Rivière",FS(F); ROS,<Nul>,0
257,Point,Station d'épuration de Saint-Ours (Grande-Ourse),53032-1,753,X2105679,<Nul>,Disques biologiques,Disques biologiques,Très petite,1,2013-07-01,114,33,33,"5,7","459,117","-731,515","Richelieu, Rivière","Richelieu, Rivière",BD; PD; UV,<Nul>,0
258,Point,Station d'épuration de Saint-Paul-de l'Île-aux-Noix,56035-1,821,X2049369,<Nul>,Étangs aérés à rétention réduite,Étangs aérés à rétention réduite,Très petite,2,2008-04-01,974,"306,2",698,"109,3","45,153,056","-73,259,444","Richelieu, Rivière","Richelieu, Rivière",ERR (4 cell.); PD,<Nul>,0
259,Point,Station d'épuration de Rivière-Beaudette,71005-1,333,X1606308,<Nul>,Autres,Filtres intermittents à recirculation,Très petite,1,2003-07-01,177,"55,1",77,"9,4","45,230,278","-74,321,944","Rivière Beaudette, Ruisseau Nord-Est de la","Rivière Beaudette, Ruisseau Nord-Est de la",FIR; FS(F); UV,<Nul>,1
260,Point,Station d'épuration de Saint-Jean-sur-Richelieu (L'Acadie),56083-1,395,X2049612,<Nul>,Étangs aérés,Étangs aérés à parois verticales,Très petite,2,2002-09-01,1038,"466,8",523,"53,1","45,372,778","-73,372,778","L'Acadie, Rivière","Richelieu, Rivière",EA (3 cell.); PD,<Nul>,1
261,Point,Station d'épuration de Saint-Patrice-de-Sherrington,68025-1,424,X2049367,<Nul>,Étangs aérés,Étangs aérés,Très petite,2,1994-02-01,702,"434,7","369,6","42,1","45,143,333","-73,505,556","L'Acadie, Rivière","Richelieu, Rivière",DÉG GR; EA (3 cell.); PD,<Nul>,2
262,Point,Station d'épuration de Saint-Hugues (2015),54100-1,396,X2049334,<Nul>,Autres,Réacteur biologique à garnissage en suspension,Très petite,2,2015-01-01,975,317,317,37,"45,787,778","-72,858,056","Chibouet, Rivière","Yamaska, Rivière",DÉC PRIM; DÉC SEC; DÉG FIN; PD; RBGS; UV,<Nul>,1
263,Point,Station d'épuration de La Prairie (Sainte-Catherine),66500-1,668,X2049269,Candiac; Delson; La Prairie; Saint-Constant; Sainte-Catherine,Boues activées,Boues activées,Très grande,7,1990-09-01,64430,"59938,7",65254,16925,"45,415,278","-73,555,278","Saint-Laurent, Fleuve","Saint-Laurent, Fleuve",BPM; BA; DÉC SEC; DÉG FIN; DÉG GR; DESS AÉRÉ,<Nul>,0
264,Point,Station d'épuration de Sainte-Julie,59010-1,689,X2049397,<Nul>,Étangs aérés,Étangs aérés à réacteur biologique avec lit en mouvement,Moyenne,5,2007-01-01,16500,"16989,8",16707,1684,"45,579,444","-733,125","Lamoureux, Ruisseau","Richelieu, Rivière",DÉG FIN; DÉG GR; EA (4 cell.); PD; RBGS,<Nul>,6
265,Point,Station d'épuration de Saint-Denis-sur-Richelieu,57068-1,685,X2056751,Saint-Antoine-sur-Richelieu,Étangs aérés à rétention réduite,Étangs aérés à rétention réduite,Moyenne,4,2006-12-01,3348,"2402,1",3406,440,"45,791,389","-73,156,389","Richelieu, Rivière","Richelieu, Rivière",ERR (3 cell.); PD,<Nul>,4
266,Point,Station d'épuration de Yamaska,53072-1,736,X2078306,<Nul>,Étangs aérés,Étangs aérés,Très petite,2,2007-07-01,1092,"343,2","363,1","58,3","46,003,795","-72,909,052","Yamaska, Rivière","Yamaska, Rivière",EA (4 cell.); PD,<Nul>,5
267,Point,Station d'épuration de Montréal (Station Jean-R.-Marcotte) ,00065-1,652,53752275,Beaconsfield; Dollard-Des Ormeaux; Dorval; Kirkland; Montréal-Est; Pointe-Claire; Sainte-Anne-de-Bellevue,Physico-chimique,Physico-chimique,Très grande,8,1988-03-01,1780000,2595104,2786000,144000,"45,663,889","-73,464,722","Saint-Laurent, Fleuve","Saint-Laurent, Fleuve",DÉG GR; DESS; PC; PD,<Nul>,136
268,Point,Station d'épuration d'Abercorn,46005-2,519,X2087247,<Nul>,Étangs aérés à rétention réduite,Étangs aérés à rétention réduite à parois verticales,Très petite,2,2007-09-01,300,"146,4",186,"20,2","45,031,944","-72,663,333","Sutton, Rivière","Richelieu, Rivière",ERR (3 cell.); PD,<Nul>,3
269,Point,Station d'épuration de Saint-Lazare,71105-1,420,X2049357,<Nul>,Étangs aérés,Étangs aérés,Moyenne,5,1996-01-01,5908,"3731,5",4242,"295,4","45,376,944","-74,111,667","Trait Carré de Lotbinière, Ruisseau du","Outaouais, Rivière des",DÉG GR; EA (4 cell.); PD,<Nul>,4
270,Point,Station d'épuration de Saint-Barnabé-Sud,54105-1,861,X2145280,<Nul>,Étangs aérés,Étangs aérés,Très petite,2,2015-10-01,350,"162,5","162,5",26,"4,572,502","-72,916,219",<Nul>,"Yamaska, Rivière",EA (4 cell.); PD,<Nul>,2
271,Point,Station d'épuration de Saint-Marcel-de-Richelieu,54125-1,534,X2141094,<Nul>,Étangs aérés,Étangs aérés à parois verticales,Très petite,1,2013-11-01,258,88,88,"12,9","458,675","-72,908,333","Descente Jérôme-Bonin, Ruisseau de la","Yamaska, Rivière",EA (4 cell.); PD,<Nul>,1
272,Point,Station d'épuration de Warden,39180-1,503,X2049428,<Nul>,Étangs aérés,Étangs aérés à parois verticales,Très petite,1,1997-11-01,120,"86,1",50,6,"45,383,889","-72,501,111","Yamaska Nord, Rivière","Yamaska, Rivière",EA (2 cell.); FG; PD,<Nul>,1
273,Point,Station d'épuration de Pincourt,72180-1,666,X2049305,Notre-Dame-de-l'Île-Perrot; Terrasse-Vaudreuil,Boues activées,Boues activées,Moyenne,5,1990-06-01,13545,"8710,6",7900,615,"45,357,222","-73,987,222","Outaouais, Rivière des","Outaouais, Rivière des",BA; DÉC SEC; DÉG FIN; DESS; FG; PD; UV,<Nul>,6
274,Point,Station d'épuration de Mercier,67045-1,108,X2049297,<Nul>,Étangs aérés,Étangs aérés,Moyenne,5,1998-02-01,9652,"6973,2",7906,396,"45,330,278","-73,762,222","Châteauguay, Rivière","Châteauguay, Rivière",DÉG GR; EA (4 cell.); PD; PP,<Nul>,3
275,Point,Station d'épuration de Sainte-Barbe,69065-1,612,X2140130,<Nul>,Étangs aérés,Étangs aérés,Petite,3,2014-11-01,2078,912,912,104,"45,173,889","-74,208,611","Saint-Louis, Décharge","Saint-Louis, Rivière",EA (4 cell.); PD,<Nul>,4
276,Point,Station d'épuration de Ste-Angèle-de-Monnoir (Dom. du Rêve),52320-2,900,X2131022,<Nul>,Autres,Filtres intermittents à recirculation,Très petite,1,2017-10-01,100,20,20,5,"45,400,629","-73,061,989",<Nul>,"Yamaska, Rivière",DÉC SEC; FIR; FS; PD; UV,<Nul>,0
277,Point,Station d'épuration de Saint-Bernard-de-Michaudville,54115-1,887,X2123319,<Nul>,Autres,Réacteur biologique à garnissage en suspension de type MBBR,Très petite,2,2015-06-01,300,120,120,"10,9","45,828,337","-73,058,685","Trois, Décharge des","Richelieu, Rivière",BE; DÉC SEC; DÉG FIN; DESS; PD; RBGS; UV,<Nul>,0
278,Point,Station d'épuration de Saint-Étienne-de-Beauharnois,70030-1,625,X2046213,<Nul>,Étangs aérés à rétention réduite,Étangs aérés à rétention réduite,Très petite,2,2004-12-01,415,"199,8",186,"20,8","45,250,278","-73,918,611","Saint-Louis, Rivière","Saint-Louis, Rivière",ERR (2 cell.); PD,<Nul>,3
