Identifiant séquentiel unique *,Géométrie *,Nom de la station d'épuration,Numéro de la station d'épuration,Numéro du système de traitement *,Numéro de lieu SAGO,Municipalité(s) desservie(s),Classification,Type de traitement (description),Taille de la station d'épuration,Catégorie de suivi,Date de mise en service,Population de conception,Débit - Calcul de taille (m³/d),Débit de conception (m³/d),DBO5C de conception (kg/d),Latitude de l'émissaire,Longitude de l'émissaire,Lac/Cours d'eau (milieu récepteur),Nom du bassin primaire,Équipements de traitements,Date d'effectivité de l'AA,Nombre d’ouvrages de surverse
447,Point,Station d'épuration Les Îles (Cap-aux-Meules),01300-1,250,X2032670,<Nul>,Étangs aérés,Étangs aérés,Petite,3,1990-11-01,1595,"1625,3",1289,83,"47,37","-61,869,167","Saint-Laurent, Golfe du","Saint-Laurent, Fleuve",EA (3 cell.),<Nul>,3
448,Point,Station d'épuration Les Îles (Havre-Aubert),01008-1,46,X1100147,<Nul>,Étangs aérés,Étangs aérés à parois verticales,Très petite,1,1998-06-01,60,"47,2",105,31,"47,236,111","-61,828,889","Saint-Laurent, Golfe du","Saint-Laurent, Fleuve",EA (3 cell.); PD; UV,<Nul>,1
449,Point,Station d'épuration de Port-Daniel-Gascons,04170-1,533,13431242,<Nul>,Étangs aérés,Étangs aérés,Petite,3,1995-10-01,1090,"565,5",335,56,"48,160,833","-64,974,444","Chaleurs, Baie des","Chaleurs, Baie des",EA (3 cell.),<Nul>,4
450,Point,Station d'épuration de New Richmond (Pin rouge),05070-1,543,X2154660,<Nul>,Étangs aérés à rétention réduite,Étangs aérés à rétention réduite à parois verticales,Très petite,1,2008-01-01,3746,"24,5",127,24,"4,830,611","-6,572,482","Cascapédia, Petite rivière","Cascapédia, Petite rivière",DÉG GR; ERR (3 cell.); PD,<Nul>,1
451,Point,Station d'épuration Les Îles (Étang-du-Nord),01015-1,222,X1101391,<Nul>,Étangs aérés,Étangs aérés,Très petite,2,1996-11-01,907,386,840,110,"47,36","-61,869,722","Saint-Laurent, Golfe du","Saint-Laurent, Fleuve",EA (2 cell.),<Nul>,3
452,Point,Station d'épuration de Hope,05025-1,159,X1100390,<Nul>,Étangs aérés,Étangs aérés à parois verticales,Très petite,2,1997-11-01,336,100,113,19,"48,052,778","-65,227,778","Paspébiac, Rivière","Paspébiac, Rivière",EA (2 cell.),<Nul>,1
453,Point,Station d'épuration de Nouvelle,04530-1,67,X2048825,<Nul>,Étangs aérés,Étangs aérés,Très petite,2,1994-10-01,578,"239,2",315,32,"48,123,611","-66,299,167","Nouvelle, Rivière","Nouvelle, Rivière",EA (2 cell.),<Nul>,2
454,Point,Station d'épuration de Gaspé (Rivière-au-Renard),03005-1,659,X1100139,<Nul>,Dégrillage,Dégrilleur fin,Moyenne,5,1999-04-01,2566,"3331,3",5198,<Nul>,"48,991,667","-64,370,833","Saint-Laurent, Fleuve","Saint-Laurent, Fleuve",DEG,<Nul>,11
455,Point,Station d'épuration de New Richmond,04360-1,262,X1100133,<Nul>,Étangs aérés,Étangs aérés,Moyenne,5,1991-01-01,3135,"3070,8",3101,169,"48,175","-65,839,444","Cascapédia, Petite rivière","Cascapédia, Petite rivière",EA (3 cell.),<Nul>,11
456,Point,Station d'épuration de Grande-Vallée,03020-1,29,X1100352,<Nul>,Dégrillage,Dégrilleur fin,Petite,3,1999-02-01,1234,1341,1341,100,"49,229,236","-65,099,673","Saint-Laurent, Fleuve","Saint-Laurent, Fleuve",DEG,<Nul>,9
